"Buurten";"Bevolking totaal|2008";"Bevolking totaal|2009";"Bevolking totaal|2010";"Bevolking totaal|2011";"Bevolking totaal|2012";"Bevolking totaal|2013";"Bevolking totaal|2014";"Bevolking totaal|2015";"Bevolking totaal|2016";"Bevolking totaal|2017";"Bevolking totaal|2018";"Bevolking totaal|2019";"Bevolking totaal|2020";"Bevolking totaal|2022";"Bevolkingsdichtheid|2008";"Bevolkingsdichtheid|2009";"Bevolkingsdichtheid|2010";"Bevolkingsdichtheid|2011";"Bevolkingsdichtheid|2012";"Bevolkingsdichtheid|2013";"Bevolkingsdichtheid|2014";"Bevolkingsdichtheid|2015";"Bevolkingsdichtheid|2016";"Bevolkingsdichtheid|2017";"Bevolkingsdichtheid|2018";"Bevolkingsdichtheid|2019";"Bevolkingsdichtheid|2020";"Bevolkingsdichtheid|2022"
"Nieuwe Markt e.o.";1010;1030;1025;1020;1060;1060;1090;1100;1180;1220;1240;1345;1380;1455;7214;7357;7321;7286;7571;7571;7786;7857;8429;8714;8857;9571;9857;10393
"De Baan e.o.";1440;1425;1445;1430;1435;1460;1440;1430;1395;1435;1470;1500;1510;1540;8471;8382;8500;8412;8441;8588;8471;8412;8206;8441;8647;8794;8882;9059
"Turfmarkt e.o.";1165;1195;1225;1235;1260;1255;1270;1270;1230;1250;1270;1285;1275;1275;9708;9958;10208;10292;10500;10458;10583;10583;10250;10417;10583;10708;10625;10625
"Raam e.o.";1525;1480;1555;1595;1630;1610;1750;1750;1930;2000;1995;2065;2135;2150;9531;9250;9719;9969;10188;10063;10938;10938;12063;12500;12469;12906;13344;13438
"Nieuwe Park Oost";1350;1310;1310;1400;1510;1725;1790;1810;1820;1850;1870;1920;2030;2075;2935;2848;2848;3043;3283;3750;3891;3935;3957;4022;4065;4163;4413;4511
"Nieuwe Park West";5;5;15;15;15;10;10;10;10;10;5;10;10;10;16;16;48;48;48;32;32;32;32;32;16;16;32;32
"De Korte Akkeren Oud";5785;5765;5940;5930;5910;5955;5965;6010;6000;6065;6085;6135;6105;5970;11570;11530;11880;11860;11820;11910;11930;12020;12000;12130;12170;12260;12210;11940
"De Korte Akkeren Nieuw";2740;2745;2760;2755;2765;2775;2750;2715;2760;2795;2770;2820;2775;2790;6850;6863;6900;6888;6913;6938;6875;6788;6900;6988;6925;7038;6938;6975
"Industrieterrein Kromme Gouwe";285;285;275;260;260;255;275;285;270;250;255;255;260;275;750;750;724;684;684;671;724;750;711;658;671;671;684;724
"Industrieterrein Hollandsche Ijssel";50;50;45;45;45;45;55;55;60;55;55;55;60;55;217;217;196;196;196;196;239;239;261;239;239;217;261;239
"Weidebloemkwartier";610;610;575;455;465;465;455;510;515;515;520;540;520;545;3813;3813;3594;2844;2906;2906;2844;3188;3219;3219;3250;3375;3250;3406
"Boerhaavekwartier";1880;1990;2195;2040;2045;2025;2190;2270;2250;2250;2350;2285;2300;2240;4000;4234;4670;4340;4351;4309;4660;4830;4787;4787;5000;4851;4894;4766
"Windrooskwartier en Heesterbuurt";3550;3610;3520;3550;3590;3560;3530;3560;3580;3635;3640;3670;3695;3660;6574;6685;6519;6574;6648;6593;6537;6593;6630;6731;6741;6796;6843;6778
"Groenhovenkwartier";2260;2235;2225;2225;2240;2205;2210;2240;2210;2220;2195;2205;2210;2160;7793;7707;7672;7672;7724;7603;7621;7724;7621;7655;7569;7603;7621;7448
"Bloemendaalseweg";80;80;80;80;85;85;80;80;90;90;85;85;80;80;615;615;615;615;654;654;615;615;692;692;654;654;615;615
"De Goudse Poort";585;565;560;580;575;585;510;535;550;565;565;580;595;615;504;487;483;500;496;504;440;461;474;487;487;496;513;530
"Gaardenbuurt";745;745;780;740;785;780;745;730;715;710;700;710;705;745;5731;5731;6000;5692;6038;6000;5731;5615;5500;5462;5385;5462;5423;5731
"Hoef- en Veldbuurt";2000;2010;2080;2110;2120;2110;2100;2110;2125;2125;2075;2060;2060;2040;6250;6281;6500;6594;6625;6594;6563;6594;6641;6641;6484;6422;6438;6375
"Zomenbuurt";1325;1325;1270;1335;1335;1305;1315;1325;1340;1340;1325;1305;1300;1280;6625;6625;6350;6675;6675;6525;6575;6625;6700;6700;6625;6525;6500;6400
"Hoevenbuurt";1925;1920;1945;1945;1950;1955;1935;1915;1910;1895;1900;1875;1845;1810;7404;7385;7481;7481;7500;7519;7442;7365;7346;7288;7308;7212;7096;6962
"Lusten-, Burgen- en Steinenbuurt";2935;2925;2925;2930;2940;2930;2910;2870;2905;2890;2895;2895;2880;2850;7932;7905;7905;7919;7946;7919;7865;7757;7851;7811;7824;7824;7784;7703
"Grassen- Waterbuurt";1640;1630;1610;1585;1570;1570;1545;1555;1550;1545;1550;1575;1530;1525;7455;7409;7318;7205;7136;7136;7023;7068;7045;7023;7045;7159;6955;6932
"Bodegraafsestraatweg";120;115;120;120;120;120;120;120;125;120;125;120;155;200;2000;1917;2000;2000;2000;2000;2000;2000;2083;2000;2083;2000;2583;3333
"Mammoet";1175;1165;1200;1190;1190;1210;1155;1135;1130;1145;1165;1160;1160;1160;4052;4017;4138;4103;4103;4172;3983;3914;3897;3948;4017;3983;4000;4000
"Wervenbuurt";1735;1695;1720;1695;1675;1635;1645;1660;1625;1635;1595;1580;1560;1530;11567;11300;11467;11300;11167;10900;10967;11067;10833;10900;10633;10500;10400;10200
"Ouwe Gouwe";5075;5040;4975;5095;5150;5110;5155;5155;5115;5095;5190;5125;5095;5075;6858;6811;6723;6885;6959;6905;6966;6966;6912;6885;7014;6926;6885;6858
"Statensingel";385;405;415;410;410;425;435;450;455;445;445;425;430;425;7700;8100;8300;8200;8200;8500;8700;9000;9100;8900;8900;8500;8600;8500
"Wethouder Venteweg";575;570;580;565;565;565;560;560;550;535;535;550;550;540;6389;6333;6444;6278;6278;6278;6222;6222;6111;5944;5944;6056;6111;6000
"Achterwillenseweg";1070;1030;1055;1060;1045;1025;1020;1035;1020;1000;985;970;975;925;9727;9364;9591;9636;9500;9318;9273;9409;9273;9091;8955;8818;8864;8409
"Slagenbuurt";2585;2580;2535;2520;2480;2450;2430;2385;2355;2340;2330;2310;2285;2255;8914;8897;8741;8690;8552;8448;8379;8224;8121;8069;8034;7966;7879;7776
"Middenwillens";280;265;260;270;265;265;255;245;355;375;735;985;1070;1110;1077;1019;1000;1038;1019;1019;981;942;1365;1442;2827;3769;4115;4269
"De Goudse Hout";20;20;15;20;20;20;20;15;20;20;15;15;20;15;26;26;19;26;26;26;26;19;26;26;19;19;26;19
"Oosterwei";2370;2430;2445;2390;2210;1895;1665;1520;1480;1555;1615;1625;1610;1495;8778;9000;9056;8852;8185;7019;6167;5630;5481;5759;5981;6000;5963;5537
"Vreewijk";1265;1305;1265;1255;1305;1325;1310;1325;1340;1300;1290;1300;1290;1275;5271;5438;5271;5229;5438;5521;5458;5521;5583;5417;5375;5417;5375;5313
"Voorwillenseweg";535;535;530;540;535;530;560;545;545;540;500;435;440;445;3344;3344;3313;3375;3344;3313;3500;3406;3406;3375;3125;2719;2750;2781
"Kadenbuurt";2570;2595;2605;2620;2655;2660;2670;2685;2695;2665;2615;2575;2570;2565;10280;10380;10420;10480;10620;10640;10680;10740;10780;10660;10460;10280;10280;10260
"Kort Haarlem";3900;3860;3845;3830;3870;3835;3965;4080;4060;4055;4035;4090;4070;4025;8478;8391;8359;8326;8413;8337;8620;8870;8826;8815;8772;8880;8848;8750
"Sportbuurt";1305;1320;1310;1350;1335;1330;1400;1440;1445;1445;1475;1445;1440;1385;8156;8250;8188;8438;8344;8313;8750;9000;9031;9031;9219;9031;9000;8656
"Molenbuurt";3545;3525;3500;3540;3515;3500;3420;3380;3330;3260;3230;3180;3135;3110;11078;11016;10938;11063;10984;10938;10688;10563;10406;10188;10094;9938;9797;9719
"Polderbuurt";3355;3345;3315;3255;3265;3255;3245;3230;3190;3170;3130;3130;3150;3075;7293;7272;7207;7076;7098;7076;7054;7022;6935;6891;6804;6804;6848;6685
"Vrijheidsbuurt";975;965;965;950;945;930;900;890;885;865;865;835;840;835;5417;5361;5361;5278;5250;5167;5000;4944;4917;4806;4806;4639;4667;4639
"Componistenbuurt";1930;1920;1910;1905;1910;1900;1895;1885;1865;1850;1790;1780;1755;1740;9190;9143;9095;9071;9095;9048;9024;8976;8881;8810;8524;8476;8357;8286
"Muziekbuurt";665;685;670;695;680;680;685;715;695;700;700;690;700;670;5115;5269;5154;5346;5231;5231;5269;5500;5346;5385;5385;5308;5385;5154
"Stolwijkersluis Oost";335;340;330;330;310;320;335;335;330;320;320;345;335;350;1340;1360;1320;1320;1240;1280;1340;1340;1320;1280;1280;1360;1340;1400
"Stolwijkersluis West";75;70;65;70;70;70;75;75;75;85;85;90;90;90;134;125;116;125;125;125;134;134;134;152;152;161;161;161
"Gouwestroom";20;20;20;25;25;25;25;25;25;25;30;35;40;45;87;87;87;109;109;109;109;109;109;109;130;130;174;196
"Ringvaartbocht";20;20;15;15;10;10;10;10;15;10;15;15;20;20;143;143;107;107;71;71;71;71;107;71;107;107;143;143
"Oostpolder in Schieland";60;60;65;60;55;60;65;65;60;300;300;210;235;300;63;63;68;63;58;63;68;68;63;316;316;221;247;316
"De Eilanden";5;5;5;5;5;5;0;0;5;5;285;595;740;1005;11;11;11;11;11;11;0;0;11;11;648;1352;1682;2284
"Tuinenbuurt";10;10;10;10;10;10;5;10;10;200;375;390;405;1315;23;23;23;23;23;23;11;23;23;455;852;875;920;2989
"Westergouwe";10;10;10;10;10;10;5;5;5;5;5;5;5;0;15;15;15;15;15;15;8;8;8;8;8;0;8;0
